"control_id","control_name","baseline","control_description","supplemental_guidance","purpose","scope","applicability","miscellaneous","section_header","source_file","extraction_source","compliance_date","published_url"
"MON05.002","","","Penetration Testing Frequency","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"RMP03.001","Internet-facing systems shall undergo penetration testing annually at minimum by a qualified independent tester. Web application penetration testing shall use OWASP methodology. Findings shall be entered as POA&M items within 5 business days per","",". Pentest reports shall be retained for 3 years. CA-8 Implemented ISSO Tool Coverage Scan Type Owner Tenable Nessus / Security Center Endpoints, servers, network devices Authenticated, credentialed Security Ops Microsoft Defender Vulnerability Mgmt Windows endpoints, M365 services Agent-based continuous Endpoint Management Qualys VMDR Cloud workloads, web apps Authenticated + external Security Engineering OWASP ZAP / Burp Suite Enterprise Web applications Active DAST scanning Security Engineering Version Date Author Changes 1.4 02/01/2026 T. Okonkwo, ISSO","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON04.001","Added CDM dashboard controls (","","). Updated SIEM retention to 36-month. 1.3 08/15/2025 T. Okonkwo, ISSO","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.001","Added attack surface monitoring (","","). Aligned to NIST SP 800-137A. 1.2 03/01/2025 M. Johnson","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON05.002","Added penetration testing control (","","). Updated CVSS thresholds. 1.1 01/20/2025 M. Johnson Initial operational release post-ATO.","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"DLP01.001","","","DLP Tool Deployment The organization shall deploy DLP tooling on all endpoints and email gateways to inspect outbound data flows for CUI and PII. See Appendix A for approved DLP tool list. SI-12 Implemented Security Ops","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP01.002","","","Content Inspection Policy Outbound email shall be subject to automated content inspection as described in Section 2 of this standard. Policy rules are documented in Appendix B. SI-12 Implemented Security Ops","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP02.001","","","Data Classification Tagging All documents containing CUI shall be tagged with approved sensitivity labels per the Data Classification Policy. See Appendix C for label taxonomy. MP-3 Implemented All Users","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP02.002","","","Endpoint DLP Enforcement DLP agents on endpoints shall enforce block actions for attempted exfiltration of CUI to unapproved destinations. Exceptions require ISSM approval per Appendix D. SI-3 Partially Implemented Endpoint Mgmt","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP03.001","","","Cloud Application Controls Sanctioned cloud applications shall be configured with DLP policies restricting upload of sensitive data. Unsanctioned apps shall be blocked per the Network Security Policy. SC-7 Implemented Cloud Security","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP03.002","","","DLP Alert Response SLA DLP alerts classified as High or Critical shall be investigated within 2 hours by the SOC. Alert triage procedures are in Appendix E. IR-5 Implemented SOC","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP04.001","","","Removable Media Enforcement DLP tooling shall enforce encryption requirements for all data written to removable media per the Encryption Policy, Section 2.1. MP-7 Implemented Endpoint Mgmt","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP04.002","","","Print and Fax Controls Printing of CUI documents shall be logged. Fax transmission of CUI is prohibited unless using an approved secure fax solution per Appendix F. MP-2 Not Implemented Facilities Tool Coverage Owner Review Date Microsoft Purview DLP Email, SharePoint, OneDrive, Endpoints Security Ops Quarterly Defender for Endpoint Endpoint file operations, USB Endpoint Mgmt Quarterly Network DLP (Proxy) Web uploads, cloud app traffic Network Ops Semi-annual Label Category Handling Requirement UNCLASSIFIED Public / Internal No restrictions beyond standard acceptable use. CUI Controlled Unclassified Encrypt at rest and in transit. Restrict sharing to need-to-know. CUI//SP-CTI Cyber Threat Intel Additional access restrictions per CUI SP handling requirements. FOUO For Official Use Only Legacy label. Map to CUI for new documents. Version Date Author Changes 1.3 03/01/2026 A. Patel, Security Ops","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"DLP03.001","Added cloud application controls (","",") 1.2 09/15/2025 A. Patel, Security Ops Updated Purview label taxonomy in Appendix C 1.1 03/10/2025 M. Johnson Added endpoint DLP controls, Appendix D exception process 1.0 01/15/2025 M. Johnson Initial release","","This standard defines the technical and procedural requirements for preventing unauthorized disclosure of controlled unclassified information (CUI) and personally identifiable information (PII). It supplements the Information Security Program Charter and provides implementation guidance for DLP tooling and data handling controls. For federal data categorization requirements, refer to NIST SP 800-60 data categorization guidance.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","This standard applies to all systems, applications, and data flows that process, transmit, or store CUI or PII. It applies to all personnel including employees, contractors, and third-party service providers. For cloud application scope boundaries, see the Cloud Security Policy. This standard does not replace the Data Classification Policy or the Privacy Impact Assessment procedures. For data classification requirements, refer to NIST CUI Registry.","","Appendix G - Revision History","Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx"
"ENC01.001","Full Disk Encryption for Endpoints","","Requirement: All organizational laptops, workstations, and mobile devices shall have full disk encryption (FDE) enabled using a FIPS 140-3 validated module. BitLocker with TPM 2.0 is the approved solution for Windows endpoints. Recovery keys shall be escrowed in Active Directory or Azure AD per the key management procedures in Appendix A. Devices failing FDE compliance checks shall be quarantined from the network within 24 hours. NIST Mapping: SC-28, SC-28(1) Status: Implemented Owner: Endpoint Management","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Section 3 - Data-at-Rest Encryption Controls","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC01.002","Database Encryption","","Requirement: All databases storing CUI or PII shall implement Transparent Data Encryption (TDE) using AES-256. Database encryption keys shall be stored in the approved key management system, not on the same server as the encrypted data. See Appendix A for key storage requirements. Database administrators shall verify TDE status quarterly and document results in the configuration compliance report per CFG03.001. NIST Mapping: SC-28 Status: Implemented Owner: Database Administration","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Section 3 - Data-at-Rest Encryption Controls","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC02.001","TLS Requirements for Web Applications","","Requirement: All web applications and APIs accessible internally or externally shall enforce TLS 1.2 or TLS 1.3. TLS 1.0 and TLS 1.1 are prohibited per Appendix C. Certificate management shall follow the procedures in Appendix D. Expired or self-signed certificates on production systems constitute a Level 3 policy violation per the Acceptable Use Policy, Section 6. Automated certificate monitoring shall alert the Security Operations team 30 days before expiration. NIST Mapping: SC-8, SC-8(1) Status: Implemented Owner: Security Engineering","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Section 4 - Data-in-Transit Encryption Controls","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC02.002","Email Encryption for CUI Transmission","","Requirement: CUI transmitted via email shall use S/MIME or an approved secure messaging gateway. Auto-forwarding of encrypted email to external accounts is prohibited per the Acceptable Use Policy (POL-AU-2026-006). For inter-agency CUI transmission, the organization shall use approved government messaging solutions. See the DLP Standard (STD-DLP-2026-011), Control DLP01.002, for the automated content inspection requirements that enforce this control. NIST Mapping: SC-8 Status: Partially Implemented Owner: Security Engineering","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Section 4 - Data-in-Transit Encryption Controls","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC05.001","Key Escrow for High-Impact Systems","","Requirement: Encryption keys protecting High-impact systems shall be escrowed with a secondary custodian independent of the primary key owner. Escrowed keys shall be stored in a separate HSM partition with dual-control access requiring two authorized custodians. Escrow access events shall be logged and reviewed by the ISSO within 24 hours. For key escrow procedures, contact the Security Engineering team. NIST Mapping: SC-12(6) Status: Implemented Owner: Security Engineering","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Appendix A Controls - High Impact Key Management","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC05.002","Key Generation Ceremony Requirements","","Requirement: Root CA key generation and HSM master key initialization shall follow a documented key ceremony procedure with a minimum of three witnesses, one of whom shall be the ISSM or designated representative. The ceremony shall be video recorded and the recording stored per the Records Retention Policy. Key ceremony logs shall be retained for the life of the key plus 5 years. NIST Mapping: SC-12 Status: Implemented Owner: ISSO / Security Engineering","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Appendix A Controls - High Impact Key Management","Encryption_Policy_POL-ENC-2026-008.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
"ENC03.001","","","Key Generation Standards Cryptographic keys shall be generated using NIST SP 800-133-approved methods with a FIPS 140-3 validated RNG. Key length minimums: AES 256-bit, RSA 3072-bit, ECDSA P-384. Keys generated outside these parameters shall not be used for CUI protection. SC-12 Implemented Security Engineering","","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program.","","Appendix E - Revision History","Encryption_Policy_POL-ENC-2026-008.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Encryption_Policy_POL-ENC-2026-008.docx"
